date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
10/26/2022,2023,0,,DET,ATL,1375.252676,1520.405216,0.4353836407662757,0.5646163592337243,1369.338396,1526.319497,,,,,,,1344.815484,1586.043384,0.232865118,0.767134882,113,118,32,8,20
10/26/2022,2023,0,,MIL,BRK,1593.797633,1505.094251,0.7476775537189183,0.2523224462810817,1598.625617,1500.266267,,,,,,,1592.140466,1588.493946,0.616917053,0.383082947,110,99,83,44,64
10/26/2022,2023,0,,NYK,CHO,1528.373751,1557.305109,0.6008730123227771,0.3991269876772229,1532.596404,1553.082455,,,,,,,1543.003989,1395.163097,0.783182283,0.216817717,134,131,36,44,40
10/26/2022,2023,0,,TOR,PHI,1562.180479,1557.291846,0.6465223502445849,0.35347764975541507,1568.948969,1550.523356,,,,,,,1607.211292,1604.904115,0.59875438,0.40124562,119,109,87,30,59
10/26/2022,2023,0,,MIN,SAS,1526.500939,1504.288062,0.6689663814708413,0.3310336185291587,1533.518761,1497.27024,,,,,,,1585.315744,1426.026309,0.796700114,0.203299886,134,122,51,27,39
10/26/2022,2023,0,,CHI,IND,1457.173403,1385.683284,0.7285298644974482,0.27147013550255183,1463.60139,1379.255297,,,,,,,1489.253175,1448.656745,0.666646653,0.333353347,124,109,38,28,33
10/26/2022,2023,0,,UTA,HOU,1565.726366,1353.001354,0.858172047,0.14182795299084205,1567.786389,1350.941331,,,,,,,1542.472177,1290.357992,0.888684535,0.111315465,109,101,16,6,11
10/26/2022,2023,0,,POR,MIA,1373.022111,1578.06333,0.35327694564867956,0.6467230543513205,1361.975971,1589.109469,,,,,,,1495.043689,1625.620535,0.43869399,0.56130601,98,119,73,47,60
10/26/2022,2023,0,,DEN,LAL,1505.808641,1422.634674,0.7416254621973883,0.25837453780261166,1510.771501,1417.671814,,,,,,,1587.131283,1490.980434,0.772469463,0.227530537,110,99,66,13,40
10/27/2022,2023,0,,BRK,DAL,1500.266267,1612.502902,0.48239734467407636,0.5176026553259236,1494.223702,1618.545467,,,,,,,1592.382022,1617.316638,0.503328981,0.496671019,125,129,86,35,61
